,k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales,k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2,k__Bacteria,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales,k__Bacteria; p__Chloroflexi; c__Ellin6529; o__,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales,k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__Elusimicrobiales,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales,k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales,k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales,k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales,k__Bacteria; p__Spirochaetes; c__[Brachyspirae]; o__[Brachyspirales],k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales,-0.9763763670495317,0.0,-0.0738003787584832,0.0,-0.00048280150519646917,0.0,0.02592033192436453,0.0,0.00180531281182419,0.0,0.0,-0.0010146042691853885,0.002906438188291026,0.0,0.05922966904437388,-0.003180397598408015,0.0,0.0,0.0,0.0,-0.005799685351546321,0.0,0.10911972084450486,0.0009877619488772302,-0.04217655099252764,0.001067018308211035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012237221403652358,0.0,0.0,0.0021906489826365393,0.0,0.0,0.0
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales,0.0003597116212184161,-0.5868974595597599,0.5189809343389771,-0.3244709956555434,-8.912351267939469e-05,0.0,0.0,0.005301878675854914,-0.00011382494498983226,0.0,0.06159403267649911,0.00036059403312837054,0.001132408365760941,0.0,0.0,0.0,-0.04887528491772389,0.0,0.08579700618173636,0.0013851248362816034,0.0,0.06741816084548317,0.0,0.0012227264380104974,0.0013339039431506424,-0.0004970456140478264,0.0,-0.005933212664868917,0.002545093619260249,0.0,0.3255370357072904,0.0,-0.0015714594689826345,0.0,-0.020353206919044808,-0.04628457685546947,-0.0002565676884692376,0.32270228185644173,-0.3521108064836932,0.0
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2,0.0007516022120335888,0.25935153161148705,-1.0554293536754462,-0.0021949389172870562,-0.0016072981235773678,0.07256514685034264,-0.005812318238560414,0.0,-0.10795163696264883,-0.030062804969589508,0.615929924920182,0.0006678775191850673,-0.00010367888137257696,0.0,-0.021415592472420038,-0.05704907932647898,-0.05607673921717811,0.0,-0.02451216628129794,0.0,0.0,0.0,0.0,-0.11865368810014014,0.18147876579872213,-0.049152833731370256,0.0,0.0,0.046166681124450694,0.0,0.1530649981660239,0.0,0.0009157570224755812,0.0,0.0,0.04765416146812215,0.0,-0.07993451101971476,0.0001411081152633326,0.004913860898650683
k__Bacteria,0.0005573612773688225,0.1355815442926782,-0.15381131617486204,-1.0397691014347412,0.0,0.0,0.0784033943550325,0.0,0.00037621290228640706,0.0,-0.21175815344048385,0.0006049481747141644,-0.013805106676493314,0.0,0.0006101097981727721,-0.0014618806504953065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003124374968541358,0.0,0.0008521419365300467,0.004482535217782148,0.0,0.0,0.0,0.0,0.0,-0.08092371730136359,0.0,0.0,0.0,0.003356881741958369,0.1153957925473789,0.0013895913411670385,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6,0.0012208387135402242,0.0,-0.027422417787048528,0.0,-2.0977887130765946,0.0,0.0,0.0,1.270003482604986,0.0,0.0,0.0013460224771628334,0.0,0.0,0.0027129602410604237,-0.06103723689863597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036670946621931194,-0.07030799987516956,0.0,0.0,0.0,0.0,-0.01784071079125902,0.0,0.0,-0.014673243178128223,0.015615745109543694,0.0,0.0,0.0025978767995566946,0.0,0.04005742301794695,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales,-0.4755467083237843,0.00010641523169293267,-0.0014667046913177358,0.31639120302731855,0.00267624112133859,-0.5648202010765654,-0.04647523525005671,0.003165870743353897,0.13149836948312185,0.0,-0.0008305408902368241,-0.008468850434728491,-0.0025144961900076712,-0.05595684243737316,0.20353668633313504,-0.001324339495752604,0.023893138699666316,0.0,-0.12255285693589023,0.0,0.0,-0.002344078442305856,0.0,-0.0009275937334578268,-0.017263880675253595,0.0018570487470237803,0.07241401625220299,0.0,0.0009332451430504143,0.00996894383402865,-0.0005252038221888051,0.0022612443765549725,0.0,0.0,0.003060889428588019,0.13795157368385103,0.42232190762671257,-0.0011864121271662176,-8.09013941573181e-05,-0.0019408965066207296
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales,-0.0014322190619038065,-0.7393301005566647,0.48610485151001226,0.0007286387214412719,-0.001049428086867618,0.006786195870192336,-0.6556598375996612,0.0,-0.0009147415927391012,0.0999717833290512,0.0012857914138029978,-0.001383301192280852,-0.0013659996647062812,0.0005976199572481267,0.00023595380988221767,-0.13306924306038512,0.0013957718500002244,0.0035839170598188823,-0.10620306540876776,0.0003053326947551524,-0.002844657816618081,0.0015017078321442078,-0.027318320567252127,-0.0019725027498255472,-0.0012932289937598737,0.0012014038365791588,0.0,0.0006524260808319095,-0.07557315404452329,-0.27665577981560774,0.13993756901981,-0.01700718789495748,0.0,-0.0062628106130957414,0.0007204107355508895,0.0012382357512509257,0.000976384818367306,0.0012646771921579621,-0.000407259552995474,0.0
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales,-0.4288715703644205,-0.0006939508465714073,-0.0007292834864481584,0.0016183554753211628,-0.0028641467968650003,0.0,0.15789280311725326,-0.21857344257464764,-0.0011755256718905254,0.0009875798461570098,5.711263406343396e-05,-0.0038539107535326264,0.0007863987414560517,0.0021195589802599337,-0.0006559823509932384,-0.19272673675091637,0.0004997704553526177,0.0,0.0010196852289533506,0.10913667098026139,-0.029326534657424467,-0.0014164069830550517,0.000509771398041911,-0.0007460919312021327,-0.07625326890207977,-0.00018403606684717674,-0.044488290129661615,-0.0007476066646422393,0.0,0.03513438548377319,-0.018125209135185318,0.0,0.0005295176471765687,0.0,0.0085312068424867,0.18920410289919046,-0.7609989585610191,-0.00035207126309919344,0.11515387681025337,0.1286840080846355
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales,-0.24142604168112028,0.0,0.0,0.09683647413282041,-0.2414260416811418,0.0,0.0,0.0,-0.24142604168115836,0.0,0.2043772723578368,-0.2414260416811567,0.0,0.006917088732816464,0.003275917868784683,-0.18011302236921772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06501094878743797,0.0,0.015136161185417185,0.0,0.0,-0.00673874093658099,-0.08837557633108772,0.0,0.0,0.023792688078594332,0.0,0.0,0.0,-0.0328968987738104,0.23141977826069418,0.020842420122626496
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales,0.0,0.0,0.0,-0.2979307664593031,0.0006805938439888752,-0.06283430682311884,0.001361534307380573,0.15689445697860308,0.0006720592313148626,-0.6105288509719855,-0.3599758045554157,0.0,0.0028128635767331626,0.0005229162879659135,-0.8609448087039525,0.0010741154765497958,-0.002111489857332463,0.0014356265408248562,0.13435589771083445,0.0015008688452832568,-0.29685247216434707,0.11417040104828816,-0.0008125019628270344,-0.00019852166515391538,0.0013084052187530644,-0.08906574684535808,-0.22073325249102865,0.0,-0.00190662433220293,0.10951514483957951,0.0,0.0005981823287941222,-6.656436564558021e-05,-0.09807506605555101,0.0,0.002193710177585251,-0.0007235523970146987,0.0,0.0009375487450414267,0.0
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales,0.0,0.04638203910027977,0.0,-0.06401701636828942,0.0,0.0,0.0,0.0,0.0005060312573295847,-0.02552765575760371,-0.4966702803264921,0.0,0.0,0.0,-0.003455987796020583,0.13124496905193958,0.0,0.0,0.0,0.01589843742872034,0.0,0.0,0.0,0.001803402127560048,-0.022293860473006105,0.0,0.0,0.0,0.01766254312816525,-0.04103700719327141,0.2148157705645861,0.0,0.0,0.0,0.0,-0.13145747451370238,0.0,-0.011860097854602833,-0.5102018361851662,0.0
k__Bacteria; p__Chloroflexi; c__Ellin6529; o__,-0.1160618784461143,0.0,-0.0019042628555086796,0.0,-0.11606187844611165,0.00762662413573355,0.0038168864839245244,0.013209818705216573,-0.11606187844610724,0.0,-0.08072129227750095,-0.11606187844611154,-0.05871975294955696,0.0,0.0,0.0,-0.013309438755455663,0.0,0.010870101647470733,0.0,0.0,0.0,0.1022811601300048,0.0,0.0,-0.0005448346146818694,0.0,0.0,0.0,-0.00916233692679853,0.0,0.0,0.0,0.008056629192676603,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2,0.0,0.02702740231502023,0.2833845608216629,0.0,-0.0016913946691391138,0.0,0.0,0.0,-0.0021450695245638675,0.0,-0.6208191147389384,0.0,-0.6173950631644728,0.0,0.0,-0.17607189534571213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13295003144277698,0.0,0.0,0.0,0.02295235301686521,0.0,0.0,0.0055960422893319,0.0,-0.055346166320215426,0.0,0.0,0.0,0.0,0.0,0.6686481289542006,0.0
k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta,0.0025716144131333143,0.0005520568897466569,0.0007139851436580626,0.15029041598155918,0.0007471732013057509,-0.1024291968371363,0.0,-0.084389353751217,0.0,-0.05704894754970343,0.00025515925547324133,0.002276337794723063,-0.0017296389222272801,-0.9255760787668748,0.2879988180427331,0.0,-0.11430266608005876,0.0,0.0,-0.047922094738858924,0.0010163946302446112,0.0007186727838139565,-0.01300572833280102,-0.0012259058931314282,-0.0011486251346305642,0.33198063598926486,0.0016225825658185615,0.13211408709584369,0.0006192038835571694,0.0004064131317802162,-0.0010166896152423131,0.0009969951242669462,0.0006250709205357015,0.001966869743482506,-0.0013912417437729804,0.0,0.0017156534364705606,0.2708915325804861,0.0012616912022505478,0.0
k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales,0.0,0.0,-0.0067149234468249835,0.0,0.0030010757699990413,0.0,0.0,0.027980949658432147,0.0382592034975723,0.0,0.0,0.0017230647604329283,0.021693330762419784,0.0,-0.8991195728076621,0.0,0.0,0.0,0.0,0.0,0.0,-0.05336866564349929,0.0,0.000915154964508378,0.0,0.0,0.0,0.0,0.0,-0.0039013240661785087,0.0,0.0,0.0,0.06904455935143274,0.0,0.0,0.1986815992335388,0.0,-0.0019084099978631853,0.0
k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__Elusimicrobiales,0.0004401662798784023,0.0,-0.22135610436766592,-0.2329795901899771,-0.0012734373923307886,0.0027606228917291314,0.0021881776917375244,0.0,-0.0016015021237545672,0.0,0.5797298752233607,0.0004220031743854506,0.6590043775126341,0.0,-0.14383230074967632,-0.26730417377599186,0.0,0.0,0.0016652167035208464,0.0,0.0,-0.001969829602953373,0.0,-1.4682722062275915e-05,-0.001211824301075072,-6.57024564957424e-05,0.0,0.0,0.006238414262988787,-0.0011432380049153942,-0.0014969592395774937,0.08720939053601602,-0.010533670542228655,-0.033755804986332474,0.0,0.0,-0.0019672665811671687,0.0006164611988381492,-0.0039013784122770663,0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales,0.0,0.0,-0.0007812360980574159,0.2207864562852742,0.0,-0.0007220496646645818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006215438054913628,0.17209991195230342,-0.8193004422420702,0.002853632701968855,0.0026903775853686883,0.055667655262058746,0.0,0.0,0.0,0.27686754287920273,-0.016448503002849016,-0.00030677028359723634,-0.04759616056492913,0.0,0.0,-0.08022024074262984,-0.00030175879840574533,0.0,-0.11244274977695196,0.0771975580139319,0.0,-0.001159148357727094,-0.0002127529233560998,0.0011489686661773646,-0.0007985306057740982,0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales,-0.0006983360701033161,-0.00022905111683412657,-9.957801335452668e-07,0.22923937679590384,0.0006379059137207481,0.08519703593167771,0.0,-0.1299561044238359,0.0007277027640729812,0.0015842993607349332,0.0,-0.000703046814158236,-0.4982883979679206,-0.10969710516229063,0.001269678615772821,0.0,0.24216837569067198,-0.8255429981278556,0.0,0.0011581327331835949,0.0,0.0,-0.00039459482213046436,-0.0754682589955276,0.0,-0.021045088296815815,0.10811687739463186,-0.001916478297830155,-0.0010593010584036987,0.0027664714907941032,-0.12710176626386702,-0.19688321148807938,-0.1881208738890351,0.0004125290466118686,0.0009649692116033699,0.4145434568285107,-0.0010851219085082206,-0.0012446340348280119,-0.40348520263440296,0.052226336154685304
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales,-4.4955871746087614e-05,0.14214674405368152,-0.00019548585186756335,0.0,0.00273356301731565,0.0,-0.12471784389738645,0.0,0.0026677275303389827,0.0,0.00010825782531537326,-4.4955871746103186e-05,-0.0004407351664232821,0.0,-0.0003262679651421732,0.0008249477498174884,0.10195399230379176,-0.031310192944854376,-0.49834375218281346,-0.008597642047084395,0.000981699690937552,-0.0007626095956099627,-0.04002009580609562,0.08238164568831224,-0.11371128448795398,0.0008941547285542503,0.09227775257944962,0.002972154626926037,0.0,-0.000799683303118301,-0.20973448740483638,0.0,-0.00022059555715575895,0.06348418651741682,0.0,0.23929796955227284,0.0008478192018969757,0.0,0.0,0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales,0.05418714289413493,-0.006387369747566788,-0.03573699888128282,-0.2793744691345279,0.00047466031580775333,0.0005633247303116633,0.0008307917254068364,-0.0016538706259366976,0.0002927051921980776,-0.0016411811723230601,-0.0017405940964472994,0.007352744850949274,-0.0991296845403542,0.0,-0.0022488473622332677,3.6990815325386154e-05,-0.20707088720144748,0.11604047070110259,0.0,-1.0718263006146085,0.0016114199312906503,-0.17177580543125934,0.0015757484217397266,0.395729726515703,0.0012216452784191074,-0.001156200389901568,-0.07546021081998433,0.020637848467928953,0.0015837736753366463,0.00018239820692092837,-0.32565348540997513,0.0,0.00023850372773886027,0.000670390279612636,0.0007528143133784535,0.0023611205532481695,-0.0002719416332470144,-0.1080890805307151,0.0005931348341180932,0.0
