#OTU ID,Taxonomy,12A,12C,12D,15A,15B,17A,17B,17C,18A,18B,18C,18D,19A,19B,19C,19D,21A,21B,21D,22B,22C,22D,23A,23B,23C,23D,24A,24B,24C,24D,25B,25C,25D,26A,26B,26C,26D,28A,28B,28C,28D,2A,2B,2C,2D,31A,31B,31C,31D,32B,32C,34B,34C,35D,38B,38C,38D,39A,39B,39C,3A,3B,40A,40B,40C,40D,41A,41B,41C,41D,42A,42B,42D,45A,45B,45D,46A,46B,46C,46D,47A,47B,47C,47D,4A,4B,4C,4D,51D,52B,52C,52D,53A,53B,53C,53D,54A,54B,54D,57A,57B,57C,57D,58A,58B,58C,58D,59A,59B,59C,59D,5A,5B,5C,5D,61A,61B,61C,61D,63A,63B,63C,63D,64A,64B,64C,64D,65A,65B,65C,65D,66A,66B,66C,66D,67A,67B,67C,67D,68A,68B,68C,68D,69A,69B,69C,69D,6A,6B,6C,6D,72A,72B,72C,72D,73A,73C,73D,74A,74B,74C,74D,76A,76B,76C,76D,78A,78B,78C,78D,7A,7B,7C,81B,81C,81D,82A,82B,82C,82D,85A,85B,85C,85D,87A,87C,89A,89B,89C,89D,8A,8B,8C,8D,90A,90B,90D,91A,91B,91C,91D,93A,93B,93C,93D,94A,94B,94D,95A,95B,95C,95D,97A,97B,97C,97D,98A,98B,98C,98D,99A,99B,99C,9A,9B,9C,9D
7a432d7d7efe37e8a9125ac82883f6cb,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium,1956,5059,288,16929,23770,1255,3964,6539,5086,4220,2843,622,11931,12418,3259,3504,1215,8020,5395,23882,17333,5967,21100,21344,12951,13986,2930,2068,11748,15139,15285,14786,5297,883,5596,8279,4725,11810,18645,10837,41644,4789,16018,6011,10296,36266,9936,25268,4462,8680,19361,31271,12628,37031,8889,8423,3584,6652,9286,14737,1810,651,6181,6781,4534,39805,17692,33765,38816,25000,4522,14562,16333,16179,4637,38699,1972,3597,18845,21226,23872,14291,15914,6075,1476,279,3085,831,51407,25960,14828,20754,34818,9340,7397,58370,44757,1550,20818,32762,17458,16570,7844,39894,12136,26628,17631,32571,5965,20892,29883,3931,2651,788,29736,23941,6994,15804,3948,30774,9349,29303,23828,29385,47183,52746,25280,16678,42341,11590,13838,0,15441,7228,35731,12581,3740,8170,15785,13438,8985,1792,0,12790,26029,3296,12386,40573,13509,40707,12864,10931,4838,1474,21969,21142,30247,68148,9172,9237,15411,3589,32164,45881,14825,39102,3410,28257,25064,10447,19505,11406,9067,18470,30450,7936,31161,48760,22140,31704,2036,276,1043,2766,37300,47439,28973,12871,22602,35646,4021,1786,6137,554,22338,27504,21773,23145,8905,47842,49784,11859,19397,9037,18921,22114,22787,69292,8775,7490,5445,16814,21011,18838,57801,30078,45227,67260,46985,70494,7861,14300,3065,2333,391,1200,4953
a1368338b0dff7b14688b055857e320e,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae,6476,23391,1289,10985,32025,445,1057,2099,646,59,2964,429,3669,6998,408,179,2591,3783,1055,1788,4047,612,4801,783,368,729,593,440,1372,36,227,2847,113,2,113,21,7,5202,1934,927,321,431,2324,297,357,18587,284,1020,1133,139,4233,12926,7353,39463,214,276,327,3675,6757,4168,344,83,2414,1546,437,4988,641,184,86,190,110,47457,1969,1937,20812,16249,587,6632,96,1318,1982,4138,5665,50684,26946,38522,2670,114,431,418,1406,241,691,214,182,6825,39675,3936,92,3393,225,471,88,2223,3776,926,214,147,121,108,7974,3204,6607,2362,9716,5555,3099,72,369,2380,1650,1940,416,186,1594,453,3695,2858,15467,101,3371,0,717,368,21940,20358,48206,3876,5545,20342,19866,3399,0,941,6403,5674,8228,2235,1000,6150,58,1058,174,14138,21213,21029,4764,8301,5683,3783,9709,14447,116,16752,10559,1723,4489,2180,4552,336,1975,1367,684,5247,7727,14163,238,2613,8060,24439,13417,18433,2993,538,262,2681,12008,20818,672,1898,1419,765,2821,212,4853,4937,341,183,176,167,109,425,1985,3312,6524,181,324,6615,1645,6397,3489,9825,748,56,3258,1446,58,182,31,53,6943,11654,11721,16439,16089,13830,4558
6ecd8fe4fc307936b5f74e60a588b60d,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__dispar,1501,4043,426,198,226,23079,55613,54006,11211,552,2837,1711,715,2376,368,469,13838,18855,1361,25,117,467,410,78,244,53,824,487,2299,32,21,730,304,40,212,59,53,4122,7690,41,54,70,62,545,112,5484,153,9,15,23,31207,6544,2781,4594,0,55,40,3203,7560,1404,1139,20,47,63,31,175,64,28,50,103,5735,4445,1027,13208,1136,887,3156,2505,3559,12912,47,377,653,2918,2797,33,864,8,18189,376,4092,2995,127,51,602,153,513,52,85,0,121,89,2233,1546,470,138,253,40,28,42,252,118,4182,6219,266,70,215,76,14,1580,137,339,566,29,204,147,126,79,6978,118,48,0,137,278,468,83,515,21,776,29,206,69,0,1390,28414,2264,5659,456,4149,262,970,806,4354,521,7985,11,0,39,3907,9526,3412,22189,27,657,28562,6550,46875,14787,8076,2348,122,93,88,27,5520,2883,454,3356,2176,99,5863,47346,23028,7855,19,662,218,111,12,19234,55,28,809,525,388,15,14,171,1114,26,19,1994,5039,201,649,1552,6722,152,9026,13122,19,75,443,303,152,0,17,4442,54,126,10122,9646,8693,137,51,179,1657
e2c6afdc8a9a2efbf89e5e3fe5344915,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__,2365,3709,515,1351,260,992,3093,1734,953,211,811,175,339,380,159,99,9908,16444,2713,584,407,310,390,574,481,441,218,229,1223,50,121,136,167,94,78,61,165,434,2196,95,88,699,408,209,526,933,291,97,0,52,1620,2496,689,1428,45,252,20,600,1296,613,79,14,165,200,252,1016,141,229,80,183,836,931,1724,33531,28,1096,1267,431,333,188,431,889,1295,720,330,42,44,131,2116,864,634,1181,4511,80,141,478,1975,39,1613,655,443,337,1322,5155,607,699,493,189,140,1036,634,284,2257,3757,7833,999,359,350,13,4816,333,1190,464,125,428,7164,355,538,2431,266,307,0,88,138,118,182,6736,6745,214,652,864,112,0,885,1471,1137,876,670,1839,1527,359,2607,860,199,797,273,235,471,613,781,496,2433,853,1721,833,514,810,5484,284,73,241,167,71,1329,3256,245,2081,7229,3978,1840,179,290,3229,2165,525,1551,374,158,198,119,47,34,4686,22734,954,425,6,420,258,559,455,3721,1749,204,469,3215,1902,812,2061,1451,15,35,83,272,125,100,224,2382,480,1086,530,669,371,532,553,417,0
c725848bda8d40c76f224633f5fc7f7e,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__fragilis,45,0,0,5,0,0,0,0,10,5,0,0,0,0,0,0,2,0,8,1440,58,197,0,0,0,0,0,0,185,3,10,3,26,8,102,0,0,133,0,199,0,37,83,108,0,16029,2033,45,6512,125,83,592,118,219,0,0,0,37,54,29,0,0,213,437,47,0,18,0,20,34,20,47,41,15,80,18,0,0,0,11,0,24,0,1703,18,0,36,0,77,1467,141,88,0,16,43,15,41,0,613,0,8,0,23,2305,27960,25,0,3815,64,391,3326,8,0,6,0,6357,105,83,25,767,24187,46,0,5511,265,1160,1817,2727,2020,49,54,0,211,113,0,0,0,9,0,47,13,0,0,7,0,0,7,0,0,8,21,227,568,5,273,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,17,39,0,0,0,0,0,14,0,0,0,0,0,523,4393,0,0,0,0,22,0,0,19,0,0,0,0,0,0,0,382,539,16150,17842,0,0,0,2730,3144,7192,9517,349,296,1350,158,0,0,0,0,0,0,12,10,0,55,2426
40deb2e0a4fa68cff726f50d0a089d6c,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri,88,0,0,35,22,15,70,15,75,0,0,0,23,20,4,12,154,221,27,0,0,0,3579,1250,892,227,19099,21470,192,0,0,0,0,0,0,0,192,13457,790,425,179,252,159,3659,169,824,22,27,0,0,0,52,0,311,0,235,0,3,0,0,0,0,186,24,132,8404,0,40,27,0,5,0,0,0,0,0,0,0,520,68,0,0,19,0,19,65,35,16,0,423,38,4351,17,5,0,0,0,0,0,0,0,0,91,1403,4339,124,380,0,0,0,34,142,0,3,5,0,12,0,0,503,900,230,428,0,10,13,0,0,0,0,0,0,164,595,425,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8576,1973,20,10,0,0,0,0,10,34,0,0,0,0,0,16920,70,301,0,0,0,0,74,0,0,27,0,0,0,17381,15231,240,657,0,0,0,0,0,5,462,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21
a1c5dfe2250df24ef54ef25b9d22325d,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__bifidum,34,50,0,20,22,0,9,69,18,17,36,65,195,87,45,28,127,499,431,3998,781,780,0,0,0,0,114,153,293,0,0,0,0,181,268,228,331,1307,1142,378,1003,200,886,19,29,720,284,373,201,201,54,1656,494,23,27,0,7,242,688,1059,53,122,1447,1877,2657,579,849,1587,1728,2886,426,209,260,303,60,5951,0,31,247,446,0,20,0,16,47,0,0,50,924,562,194,174,462,553,68,1610,1683,61,1362,1469,406,490,96,258,741,250,149,3175,355,1453,3019,120,20,0,368,979,532,990,292,134,204,161,241,1656,2687,2804,1594,741,5871,783,1263,0,0,0,165,23,8,0,1816,0,0,0,0,16,129,0,0,452,326,374,256,113,1043,0,0,557,1306,5657,0,0,0,0,39,53,551,1015,0,13,439,259,0,11,18,1182,2160,1213,1359,1318,1606,1872,0,0,0,29,2856,509,0,0,0,0,288,224,24,40,1709,870,2593,889,438,3441,3581,336,405,291,411,65,1234,4326,881,261,50,125,468,403,2276,1098,2349,4644,1835,2198,180,533,96,8,0,15,967
f4069d654a9a5bf831238288ea001118,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,274,23,11960,11642,3794,13426,9,8,7,0,0,160,0,100,85,112,2305,954,1841,17,67,176,149,131,491,38,2739,1150,1127,132,32,17,28,0,0,0,0,0,17,14,787,1113,891,839,725,87,53,20,1623,721,4170,353,3552,2054,10412,5598,53,2310,9,1566,0,0,0,0,543,3802,5192,4119,96,0,32,0,12,9,17,0,0,16,11,0,0,22,28,539,28,69,20,376,223,128,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
d76970ed2b3e44061764f6d3f20444e7,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,183,19,11243,8488,1498,10967,4,10,13,0,0,0,5,0,89,5,0,0,7,13,0,146,78,26,25,59,65,13,61,128,30,26,0,0,0,2,0,0,5,13,783,609,716,490,522,72,37,22,1056,505,2862,232,6057,2943,13601,7349,43,2908,5,2509,0,0,0,0,624,5218,9579,10462,23,0,10,10,7,13,21,12,12,21,0,9,0,39,17,302,27,47,23,276,157,46,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63a4755de97a827a584817ae2d85376e,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__luteciae,0,161,0,43,57,794,2439,0,39,0,1527,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,2139,0,250,124,0,0,23,0,0,0,0,0,0,0,0,2508,0,0,0,0,0,301,673,0,0,0,0,23,227,1671,16,0,0,0,0,52,0,0,0,0,0,210,189,0,0,12585,0,0,0,176,0,0,0,0,0,0,0,27,57,32,0,0,0,0,0,0,1171,0,0,0,0,231,0,0,0,0,0,0,0,0,0,106,1788,1882,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1595,1284,0,0,14914,7773,25361,0,67,63,140,0,570,318,0,0,0,0,0,672,464,0,0,0,0,0,66,0,0,0,0,0,0,0,176,929,29,0,0,150,0,0,0,0,1407,0,0,0,0,0,0,0,75,3961,330,0,0,0,0,0,0,0,0,422,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,27,55,645,0,508,961,2297,5184,0
